,Company,Industry,Est.Year,RevenueinCr,Rev%chng,NOIinCr,NOI%chng,ProfitinCr,Profit%chng,AssetsinCr,Assets%chng,NetWorthinCr,Netwrth%chng,EquityDividendinCr,EquityDividend%chng,EmployeeCostinCr,EmployeeCost%chng,RevProfitRatio,AssetsProfitRatio,NetwrtProfitRatio
450,TVS Srichakra,Tyres & Tubes,1982.0,2510.2,17.91,2430.98,12.95,102.94,-11.37,1253.57,19.47,728.26,13.99,0.0,0.0,269.27,15.24,4.1,8.21,14.14
451,DB Corp,Media,1995.0,2478.41,5.99,2462.7,6.56,273.84,-15.47,1941.74,-4.62,1826.93,-5.3,34.98,0.0,435.07,-0.31,11.05,14.1,14.99
452,Motilal Oswal Financial Services,Securities Trading,2005.0,2468.23,-10.32,2463.35,-10.47,293.97,-52.76,8239.67,-0.45,3053.44,5.81,125.05,23.46,501.77,1.97,11.91,3.57,9.63
453,Montecarlo,Infra development,1995.0,2468.01,27.65,2456.2,27.05,145.75,-8.33,1262.17,16.6,737.06,24.22,0.0,0.0,129.59,12.72,5.91,11.55,19.77
454,Siyaram Silk Mills,Textiles & Garments,1978.0,2467.4,-2.74,2442.19,0.79,99.09,-10.58,1269.94,-2.96,754.9,11.3,10.31,0.0,198.21,4.44,4.02,7.8,13.13
455,Solar Industries India,Basic Materials,1995.0,2466.15,25.46,2461.57,28.47,261.61,18.62,1889.96,14.57,1238.33,14.25,0.0,0.0,174.06,30.4,10.61,13.84,21.13
456,Jayant Agro Organics,Fert,1992.0,2465.02,-3.94,2433.34,-4.55,55.8,4.36,847.53,-5.63,376.78,16.91,0.98,-49.74,38.64,8.88,2.26,6.58,14.81
457,Himadri Speciality Chemical,Basic materials,1987.0,2447.34,19.84,2422.39,19.83,324.29,31.05,2114.92,1.52,1631.79,15.35,0.0,0.0,59.56,23.08,13.25,15.33,19.87
458,Granules India,Drugs & Pharmaceuticals,1991.0,2438.04,41.91,2279.2,35.29,236.41,78.3,2533.23,10.61,1529.47,17.28,0.0,0.0,209.82,27.0,9.7,9.33,15.46
459,HT Media,Media,2002.0,2435.92,-5.93,2193.87,-4.59,-45.4,0.0,3970.21,-2.93,2474.95,-2.71,0.0,0.0,381.99,-25.56,-1.86,-1.14,0.0
460,Hindusthan National Glass & Industries,Packaging,1946.0,2424.71,30.98,2403.52,24.71,-172.95,0.0,2405.5,-11.24,-21.55,-113.52,0.0,0.0,206.12,3.23,-7.13,-7.19,0.0
461,Dalmia Bharat Sugar & Industries,Cement,1951.0,2421.21,17.86,2018.51,-10.06,175.15,43.21,2611.58,13.25,1531.7,1.8,0.0,0.0,118.66,9.17,7.23,6.71,11.44
462,Nilkamal,Consumer Durables,1985.0,2421.08,13.03,2362.36,11.22,117.33,-4.97,1071.75,6.15,937.0,10.97,5.97,0.0,186.66,7.85,4.85,10.95,12.52
463,Parag Milk Foods,FMCG,1992.0,2417.91,22.63,2395.66,22.57,120.72,38.66,1071.85,5.73,827.14,16.14,0.0,0.0,94.99,29.2,4.99,11.26,14.59
464,3M India,Consumer Durables,1987.0,2415.06,8.37,2331.65,8.02,366.18,9.85,1475.53,34.08,1432.84,34.32,0.0,0.0,330.21,-7.26,15.16,24.82,25.56
465,Jagran Prakashan,Media,1975.0,2403.92,2.26,2362.65,2.55,260.55,-13.11,2534.32,3.22,1875.71,-8.04,0.0,0.0,419.23,4.73,10.84,10.28,13.89
466,Religare Enterprises,NBFC,1984.0,2401.72,-12.2,2370.93,-11.35,-1287.17,0.0,8571.51,-33.28,833.05,-54.64,0.0,0.0,517.63,3.86,-53.59,-15.02,0.0
467,Huhtamaki PPL,Packaging,1950.0,2397.38,11.96,2369.07,11.17,34.88,-45.17,974.97,0.45,556.48,1.35,0.0,0.0,235.17,12.46,1.45,3.58,6.27
468,Sarda Energy & Minerals,Iron & Steel,1973.0,2379.12,6.31,2323.89,6.91,203.18,0.34,3277.89,6.65,1778.02,12.78,0.0,0.0,87.35,13.27,8.54,6.2,11.43
469,KNR Constructions,Engineering & Construction,1995.0,2370.24,11.83,2291.5,10.72,270.51,11.1,2155.27,12.96,1310.82,25.11,0.0,0.0,94.77,28.14,11.41,12.55,20.64
470,Relaxo Footwears,Leather,1984.0,2360.3,20.48,2292.08,18.08,175.44,8.92,1226.08,32.87,1105.07,45.17,0.0,0.0,258.66,20.82,7.43,14.31,15.88
471,Johnson Controls-Hitachi Air Condition. India,Consumer durables,1984.0,2359.17,7.22,2241.3,2.56,85.94,-14.19,864.95,44.93,612.99,14.53,0.0,0.0,165.15,17.14,3.64,9.94,14.02
472,Equitas Holdings,Micro Finance,2007.0,2358.53,32.53,2275.3,38.12,176.59,1190.86,15252.76,17.21,2443.7,8.6,0.0,0.0,567.66,3.24,7.49,1.16,7.23
473,Phoenix Mills,Real Estate,1905.0,2356.8,36.99,1981.56,22.33,421.02,73.72,9125.39,26.25,3474.12,21.82,0.0,0.0,161.5,9.66,17.86,4.61,12.12
474,Nahar Spinning Mills,Textiles & Garments,1980.0,2350.18,11.06,2305.2,8.06,65.12,0.0,1764.19,-2.8,876.96,7.14,0.0,0.0,220.19,7.68,2.77,3.69,7.43
475,Asian Star Company,Gems & Jewellery,1995.0,2348.43,-10.81,2307.21,-12.42,114.93,5.31,1778.35,-3.58,1073.52,9.12,0.0,0.0,57.44,-14.17,4.89,6.46,10.71
476,Sandhar Technologies,Consumer Durables,1987.0,2345.9,19.45,2335.82,20.01,95.16,46.35,1004.88,-11.19,719.59,13.46,7.79,-23.85,311.69,17.71,4.06,9.47,13.22
477,Rites,Engineering & Construction,1974.0,2343.7,45.52,2047.45,36.73,469.51,37.09,2728.78,5.22,2422.1,9.42,175.0,150.0,487.09,6.18,20.03,17.21,19.38
478,Sunflag Iron & Steel Company,Iron & Steel,1984.0,2341.52,11.13,2229.49,7.47,110.25,-14.3,1340.3,9.71,940.14,12.33,0.0,0.0,102.08,-0.48,4.71,8.23,11.73
479,Laurus Labs,Drugs & Pharmaceuticals,2005.0,2340.06,10.9,2291.92,11.47,93.76,-44.06,2684.5,5.35,1558.41,5.11,0.0,0.0,276.33,16.04,4.01,3.49,6.02
480,Pfizer,Drugs,1950.0,2339.77,13.84,2081.5,5.74,429.05,19.16,3048.57,11.94,3011.34,12.23,0.0,0.0,323.84,3.04,18.34,14.07,14.25
481,Century Plyboards (India),Basic Materials,1982.0,2312.74,10.76,2280.39,12.67,148.45,-8.96,1534.87,5.74,974.92,14.49,0.0,0.0,345.61,10.45,6.42,9.67,15.23
482,Omaxe,Real Estate,1989.0,2298.56,-4.17,1166.51,-36.57,49.01,-41.65,3785.91,-10.08,1740.43,-20.78,0.0,0.0,101.58,17.95,2.13,1.29,2.82
483,Savita Oil Technologies, Lubricants,1961.0,2297.93,28.87,2262.52,26.92,114.27,-9.45,860.88,14.25,851.6,14.72,0.0,0.0,52.11,11.42,4.97,13.27,13.42
484,Power Mech Projects,Capital Goods,1999.0,2273.82,45.47,2261.3,46.09,121.62,53.1,1311.34,19.98,819.35,17.31,0.0,0.0,393.18,25.95,5.35,9.27,14.84
485,Mcleod Russel India,Tea & Coffee,1998.0,2266.94,-7.16,1719.66,-16.33,31.85,-84.68,3877.8,16.04,1689.84,-7.59,0.0,0.0,819.95,-9.57,1.4,0.82,1.88
486,Natco Pharma,Drugs & Pharmaceuticals,1981.0,2258.6,0.36,2094.5,-4.13,644.4,-7.44,3949.1,20.31,3489.0,13.57,91.9,-39.1,355.9,9.31,28.53,16.32,18.47
487,Kirloskar Industries,NBFC,1978.0,2250.76,17.21,2222.09,21.67,84.08,69.48,1845.65,-15.51,1365.69,-23.67,20.39,4.99,100.15,10.81,3.74,4.56,6.16
488,HIL,Cement,1946.0,2246.86,76.58,2208.02,72.54,101.4,25.57,1338.99,108.15,637.19,12.55,9.34,25.2,251.11,140.76,4.51,7.57,15.91
489,Meghmani Organics,Basic Materials,1994.0,2233.89,21.67,2087.86,16.02,251.27,46.67,1884.48,27.08,1003.6,15.28,15.26,0.0,79.99,20.03,11.25,13.33,25.04
490,Jamna Auto Industries,Auto Ancillaries,1965.0,2216.47,27.03,2134.81,22.82,137.45,9.69,542.02,5.68,509.55,20.21,19.92,66.69,158.03,23.94,6.2,25.36,26.97
491,Jindal Worldwide,Textiles & Garments,1986.0,2205.39,24.79,2211.98,34.07,30.03,-48.75,1004.6,11.37,349.66,9.13,0.0,0.0,29.45,155.2,1.36,2.99,8.59
492,Linde India,Basic Materials,1935.0,2203.12,7.87,2191.65,7.8,25.69,58.68,2741.24,-2.3,1461.87,0.78,0.0,0.0,127.29,9.31,1.17,0.94,1.76
493,Sheela Foam,Textiles & garments,1971.0,2182.21,9.01,2141.45,8.96,133.74,0.02,838.27,17.19,730.1,22.24,0.0,0.0,177.32,9.02,6.13,15.95,18.32
494,HeidelbergCement India,Cement,1958.0,2173.35,14.64,2133.35,12.91,220.66,65.69,1776.86,2.01,1171.19,11.93,0.0,0.0,123.9,3.12,10.15,12.42,18.84
495,Kirloskar Ferrous Industries,Iron & Steel,1991.0,2173.27,22.78,2159.15,22.32,98.11,158.18,787.45,18.14,658.11,11.08,13.77,0.0,93.74,16.22,4.51,12.46,14.91
496,Rolta India,Infotech,1989.0,2172.03,-24.79,2161.29,-24.45,-3657.42,0.0,6449.38,-29.55,-1298.38,-152.18,0.0,0.0,537.9,-6.72,-168.39,-56.71,0.0
497,Pennar Industries,Iron & Steel,1975.0,2168.5,17.88,2133.11,20.65,66.44,-25.67,1132.84,16.01,667.49,10.5,0.0,0.0,152.93,24.58,3.06,5.86,9.95
498,Cosmo Films,Packaging,1976.0,2163.68,14.51,2156.52,16.79,61.11,-5.15,1548.66,5.14,680.24,9.78,0.0,0.0,131.4,1.09,2.82,3.95,8.98
499,TTK Prestige,Consumer Durables,1955.0,2162.79,5.63,2106.91,12.59,192.35,-27.0,1259.75,9.14,1164.14,14.41,0.0,0.0,185.98,17.23,8.89,15.27,16.52
