,Company,Industry,Est.Year,RevenueinCr,Rev%chng,NOIinCr,NOI%chng,ProfitinCr,Profit%chng,AssetsinCr,Assets%chng,NetWorthinCr,Netwrth%chng,EquityDividendinCr,EquityDividend%chng,EmployeeCostinCr,EmployeeCost%chng,RevProfitRatio,AssetsProfitRatio,NetwrtProfitRatio
30,Bank of Baroda,Banking,1908.0,60793.3,12.48,52906.25,14.87,1100.1,0.0,789793.71,9.82,54996.12,18.1,0.0,0.0,5434.12,10.86,1.81,0.14,2.0
31,Punjab National Bank,Banking,1895.0,59514.52,3.31,52147.14,7.02,-9570.11,0.0,774220.28,2.47,41615.28,10.0,0.0,0.0,7047.54,-23.75,-16.08,-1.24,0.0
32,Canara Bank,Banking,1906.0,54269.14,11.34,46896.72,13.43,601.85,0.0,678522.77,12.87,31241.06,2.86,0.0,0.0,5962.84,4.62,1.11,0.09,1.93
33,Power Finance Corporation,NBFC,1986.0,54201.08,11.37,54113.94,11.29,9920.86,48.32,603181.83,21.45,47121.25,18.29,1325.29,-57.3,362.66,-3.07,18.3,1.64,21.05
34,ITC,FMCG,1910.0,50741.36,13.58,48352.68,11.29,12592.33,11.72,59739.65,12.42,59140.87,12.63,0.0,0.0,4177.88,11.09,24.82,21.08,21.29
35,Jindal Steel & Power,Iron & Steel,1979.0,47207.39,40.52,46965.74,40.82,-1645.34,0.0,72436.31,-3.1,32427.64,6.72,0.0,0.0,1071.85,12.16,-3.49,-2.27,0.0
36,Bank of India,Banking,1906.0,46268.85,4.78,41004.82,7.03,-5426.57,0.0,614634.26,1.84,41327.63,32.67,0.0,0.0,6081.82,22.54,-11.73,-0.88,0.0
37,Kotak Mahindra Bank,Banking,1985.0,45979.11,18.46,29934.76,19.11,7204.13,16.18,376962.81,16.8,57781.81,14.45,0.0,0.0,4850.9,10.73,15.67,1.91,12.47
38,General Insurance Corporation of India,Insurance,1972.0,45073.27,3.5,38250.07,0.14,2757.57,-12.33,55916.34,3.57,25492.37,5.54,0.0,0.0,123.78,14.72,6.12,4.93,10.82
39,Hyundai Motor India,Auto,1996.0,43944.45,9.87,43258.09,9.98,2581.73,21.54,16249.07,16.38,13750.86,23.06,0.0,0.0,1139.57,15.44,5.87,15.89,18.78
40,Bajaj Finserv,NBFC,2007.0,42606.93,29.65,42605.4,29.65,3219.04,21.46,137993.18,40.44,23765.92,16.03,27.85,0.0,3801.77,38.51,7.56,2.33,13.54
41,Vodafone Idea,Telecommunication,1995.0,41367.7,42.87,37092.5,31.17,-14603.9,0.0,197037.7,121.59,59634.8,118.74,0.0,0.0,2294.4,48.7,-35.3,-7.41,0.0
42,Hindustan Unilever,FMCG,1933.0,39848.0,10.42,39310.0,10.59,6054.0,16.11,10061.0,12.1,7867.0,8.05,0.0,0.0,1875.0,0.81,15.19,60.17,76.95
43,Union Bank of India,Banking,1919.0,39355.38,8.57,34313.67,6.18,-2922.35,0.0,487616.05,22.58,24600.85,7.38,0.0,0.0,3237.23,-14.09,-7.43,-0.6,0.0
44,UltraTech Cement,Cement,2000.0,37938.26,19.76,37379.2,20.66,2434.72,9.56,51391.9,11.55,28388.95,7.61,0.0,0.0,2058.79,13.73,6.42,4.74,8.58
45,Power Grid Corporation of India,Power,1989.0,36149.01,6.23,35059.12,17.04,10033.52,22.3,219771.03,14.15,59088.39,8.57,3050.02,137.96,2300.54,6.99,27.76,4.57,16.98
46,Tech Mahindra,Infotech,1986.0,35276.3,9.59,34742.1,12.9,4297.6,13.1,24901.5,3.15,20284.4,7.65,0.0,0.0,17507.9,5.32,12.18,17.26,21.19
47,Hero MotoCorp,Auto,1984.0,34777.35,4.94,33970.82,4.66,3444.09,-7.43,13668.96,10.13,13120.41,9.6,1098.5,0.01,1778.03,12.27,9.9,25.2,26.25
48,Ashok Leyland,Auto,1948.0,34715.19,19.26,33620.65,11.87,2078.7,18.08,29706.55,20.8,8745.57,17.86,0.0,0.0,2697.15,17.96,5.99,7.0,23.77
49,Yes Bank,Banking,2003.0,34299.28,34.18,29623.8,46.16,1709.27,-59.62,362869.43,20.42,26887.41,4.41,0.0,0.0,2538.11,13.58,4.98,0.47,6.36
50,Reliance Infrastructure,Power,1929.0,33748.17,48.01,20361.34,8.72,-2426.82,0.0,39865.26,-35.69,14175.74,-40.14,0.0,0.0,1094.3,-4.89,-7.19,-6.09,0.0
51,Tata Power Company,Power,1919.0,33388.62,8.68,29558.64,10.13,2190.94,-9.03,71815.01,2.15,18221.16,11.11,0.0,0.0,1488.55,0.92,6.56,3.05,12.02
52,Bajaj Auto,Auto,2007.0,32553.14,22.13,30249.96,19.95,4927.61,16.8,23417.97,13.1,23233.81,13.75,0.0,0.0,1256.89,17.52,15.14,21.04,21.21
53,Bharat Heavy Electricals,Capital Goods,1964.0,32100.84,11.59,30367.65,5.34,1011.84,129.36,43367.13,4.1,30872.38,-4.52,278.57,-5.15,6268.92,3.18,3.15,2.33,3.28
54,Sun Pharmaceuticals Industries,Drugs,1993.0,30524.51,12.65,29065.91,9.73,2665.42,27.19,56241.66,6.02,41409.06,8.08,0.0,0.0,5967.09,11.18,8.73,4.74,6.44
55,NABARD,Banking,,29899.2,21.56,29660.88,21.87,3415.53,13.63,475001.44,20.37,66934.74,8.91,0.0,0.0,1587.35,-4.26,11.42,0.72,5.1
56,Interglobe Aviation,Airline Services,2004.0,29822.03,24.43,28496.77,23.79,157.25,-92.99,16969.68,15.84,6945.81,-1.86,0.0,0.0,3210.56,30.78,0.53,0.93,2.26
57,IFFCO,Fert,1967.0,29696.79,27.14,27851.74,33.98,841.58,-10.2,31084.64,16.79,10057.74,11.06,0.0,0.0,1174.04,-9.06,2.83,2.71,8.37
58,IndusInd Bank,Banking,1994.0,27907.87,26.68,22261.15,28.82,3300.75,-8.47,268876.27,25.78,26361.7,12.27,0.0,0.0,1853.51,4.09,11.83,1.23,12.52
59,New India Assurance Company,Insurance,1919.0,27615.29,10.07,21524.42,8.72,604.71,-72.39,38904.55,-0.63,16521.0,2.24,0.0,0.0,2919.07,27.8,2.19,1.55,3.66
60,Honda Motorcycle & Scooter India,Auto,2001.0,26656.31,0.91,25920.47,1.06,1781.16,-10.18,7666.84,-3.67,7124.95,-6.19,0.0,0.0,1510.25,9.14,6.68,23.23,25.0
61,Ambuja Cements,Cement,1981.0,26626.63,10.84,26040.94,10.3,2177.4,43.59,27831.19,9.17,22370.48,8.22,0.0,0.0,1524.37,0.87,8.18,7.82,9.73
62,Adani Power,Power,1996.0,26361.63,24.98,23884.18,17.63,-984.4,0.0,60215.74,1.11,7712.29,767.2,0.0,0.0,363.28,2.7,-3.73,-1.63,0.0
63,IDBI Bank,Banking,1964.0,25637.43,-15.37,22102.1,-4.1,-14986.76,0.0,310921.53,-6.62,31619.01,87.6,0.0,0.0,2317.79,21.97,-58.46,-4.82,0.0
64,Central Bank of India,Banking,1911.0,25164.95,-6.04,22748.62,-5.85,-5616.93,0.0,325390.55,1.8,16321.44,8.23,0.0,0.0,3574.48,-10.42,-22.32,-1.73,0.0
65,Syndicate Bank,Banking,1925.0,23949.23,-2.57,21725.41,-0.23,-2524.2,0.0,304263.42,-4.6,17078.44,13.69,0.0,0.0,4071.21,12.93,-10.54,-0.83,0.0
66,Future Retail,Retail Trade,2007.0,22903.16,10.11,22224.63,10.54,727.03,6328.21,6709.79,47.36,3846.65,24.23,0.0,0.0,1090.17,17.23,3.17,10.84,18.9
67,Avenue Supermarts,Retail Trade,2000.0,22448.11,33.59,21955.11,33.02,902.54,11.94,6289.99,23.08,5587.45,19.67,0.0,0.0,355.42,25.77,4.02,14.35,16.15
68,Andhra Bank,Banking,1923.0,22290.98,4.63,19202.88,5.46,-2742.0,0.0,243499.25,2.59,12371.96,22.48,0.0,0.0,2301.46,20.72,-12.3,-1.13,0.0
